NAMA PRODUK;PRODUCT DESCRIPTION;KATEGORI PRODUK;SATUAN UNIT;MERK;HPP;ECERAN;PARTAI;GROSIR
SHEET WHITE OAK;VIOSHEET VR 0531;12;5;VIOLAM;45000;50000;47000;48000
SHEET BUSAN CHEERY;VIOSHEET VR 0655;12;5;VIOLAM;45000;50000;47000;48000
SHEET ROYAL WALNUT;VIOSHEET VR 0107;12;5;VIOLAM;45000;50000;47000;48000
SHEET ESPRESSO OAK;VIOSHEET VR 0003;12;5;VIOLAM;45000;50000;47000;48000
SHEET BLACK OAK;VIOSHEET VR 0415;12;5;VIOLAM;45000;50000;47000;48000
SHEET URBAN TEAK;VIOSHEET VR 0604;12;5;VIOLAM;45000;50000;47000;48000
SHEET BROWN WOODCUT;VIOSHEET VR 0707;12;5;VIOLAM;45000;50000;47000;48000
SHEET DARK WENGE;VIOSHEET VR 0413;12;5;VIOLAM;45000;50000;47000;48000
SHEET DAEGU CANE;VIOSHEET VR 0518;12;5;VIOLAM;45000;50000;47000;48000
SHEET ENTERNAL CANE;VIOSHEET VR 0519;12;5;VIOLAM;45000;50000;47000;48000
SHEET SILVER CANE;VIOSHEET VR 0520;12;5;VIOLAM;45000;50000;47000;48000
SHEET BARK WOOD;VIOSHEET VR 0297;12;5;VIOLAM;45000;50000;47000;48000
SHEET COOL TEAK;VIOSHEET VR 0231;12;5;VIOLAM;45000;50000;47000;48000
SHEET BROWN PINE;VIOSHEET VR 0817;12;5;VIOLAM;45000;50000;47000;48000
SHEET WHITE NANO GLOSSY;VIOSHEET VR 1004;12;5;VIOLAM;45000;50000;47000;48000
SHEET CAPITAL;VIOSHEET VR 0537;12;5;VIOLAM;45000;50000;47000;48000
SHEET RUSTIC TEAK;VIOSHEET VR 0603;12;5;VIOLAM;45000;50000;47000;48000
SHEET ROYAL OAK;VIOSHEET VR 0400;12;5;VIOLAM;45000;50000;47000;48000
SHEET SILVER ;VIOSHEET VR 9598;12;5;VIOLAM;45000;50000;47000;48000
SHEET JEJU WALNUT;VIOSHEET VR 0407;12;5;VIOLAM;45000;50000;47000;48000
SHEET PY 001 PT;SHEET PY 001 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 003 PT;SHEET PY 003 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 004 PT;SHEET PY 004 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 008 T;SHEET PY 008 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 009 T;SHEET PY 009 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 010 T;SHEET PY 010 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 011 T;SHEET PY 011 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 012 T;SHEET PY 012 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 013 T;SHEET PY 013 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 014 T;SHEET PY 014 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 015 T;SHEET PY 015 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 017 T;SHEET PY 017 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 018 T;SHEET PY 018 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 022 T;SHEET PY 022 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 023 T;SHEET PY 023 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 026 G ;SHEET PY 026 G ;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 027 G;SHEET PY 027 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 030 G;SHEET PY 030 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 031 G;SHEET PY 031 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 032 G;SHEET PY 032 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 033 G;SHEET PY 033 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET 593 B;SHEET 593 B;12;5;TACO;45000;50000;47000;48000
SHEET 2221 B;SHEET 2221 B;12;5;TACO;45000;50000;47000;48000
SHEET 1878 ;SHEET 1878 ;12;5;TACO;45000;50000;47000;48000
SHEET 351 L;SHEET 351 L;12;5;TACO;45000;50000;47000;48000
SHEET 1028 Z;SHEET 1028 Z;12;5;TACO;45000;50000;47000;48000
ALM L 3M;ALUMINIUM L 3 MTR SILVER;27;10;;1;37500;34500;35500
ALM M 3M;ALUMINIUM M 3 MTR SILVER;27;10;;1;42500;39500;40500
ALM L 6M;ALUMINIUM L 6 MTR SILVER;27;10;;1;75000;72000;73000
ALM M 6M;ALUMINIUM M 6 MTR SILVER;27;10;;1;85000;82000;83000
SIKU L  8 MM DOFF;SIKU L   8 X   8MM DOFF;27;6;;1;35000;35000;35000
SIKU L 8 MM KILAP;SIKU L   8 X   8MM KILAP;27;6;;1;35000;35000;35000
SIKU L 10MM DOFF;SIKU L 10 X 10MM DOFF;27;6;;1;37500;37500;37500
SIKU L 10MM KILAP;SIKU L 10 X 10MM KILAP;27;6;;1;37500;37500;37500
SIKU L 12MM DOFF;SIKU L 12 X 12MM DOFF;27;6;;1;42500;42500;42500
SIKU L 12MM KILAP;SIKU L 12 X 12MM KILAP;27;6;;1;42500;42500;42500
SIKU L 15MM DOFF;SIKU L 15 X 15MM DOFF;27;6;;1;52500;52500;52500
SIKU L 15MM KILAP;SIKU L 15 X 15MM KILAP;27;6;;1;52500;52500;52500
SIKU L 20MM DOFF;SIKU L 20 X 20MM DOFF;27;6;;1;72500;72500;72500
SIKU L 20MM KILAP;SIKU L 20 X 20MM KILAP;27;6;;1;72500;72500;72500
SIKU L 25MM DOFF;SIKU L 25 X 25MM DOFF;27;6;;1;87500;87500;87500
SIKU L 25MM KILAP;SIKU L 25 X 25MM KILAP;27;6;;1;87500;87500;87500
U 8 MM DOFF;U   8 X   8MM DOFF;27;6;;1;65000;65000;65000
U 8 MM KILAP;U   8 X   8MM KILAP;27;6;;1;65000;65000;65000
U 10 MM DOFF;U 10 X 10MM DOFF;27;6;;1;80000;80000;80000
U 10 MM KILAP;U 10 X 10MM KILAP;27;6;;1;80000;80000;80000
U 12 MM DOFF;U 12 X 12MM DOFF;27;6;;1;90000;90000;90000
U 12 MM KILAP;U 12 X 12MM KILAP;27;6;;1;90000;90000;90000
U 15 MM DOFF;U 15 X 15MM DOFF;27;6;;1;115000;115000;115000
U 15 MM KILAP;U 15 X 15MM KILAP;27;6;;1;115000;115000;115000
U 20 MM DOFF;U 20 X 20MM DOFF;27;6;;1;150000;150000;150000
U 20 MM KILAP;U 20 X 20MM KILAP;27;6;;1;150000;150000;150000
PLAT STRIP 8 MM DOFF;PLAT STRIP STL 8 MM DOFF;27;6;;1;33500;33500;33500
PLAT STRIP 8 MM KILAP;PLAT STRIP STL 8 MM KILAP;27;6;;1;33500;33500;33500
PLAT STRIP 10 MM DOFF;PLAT STRIP STL 10 MM DOFF;27;6;;1;37500;37500;37500
PLAT STRIP 10 MM KILAP;PLAT STRIP STL 10 MM KILAP;27;6;;1;37500;37500;37500
PLAT STRIP 12 MM DOFF;PLAT STRIP STL 12 MM DOFF;27;6;;1;40000;40000;40000
PLAT STRIP 12 MM KILAP;PLAT STRIP STL 12 MM KILAP;27;6;;1;40000;40000;40000
PLAT STRIP 15 MM DOFF;PLAT STRIP STL 15 MM DOFF;27;6;;1;45000;45000;45000
PLAT STRIP 15 MM KILAP;PLAT STRIP STL 15 MM KILAP;27;6;;1;45000;45000;45000
PLAT STRIP 20 MM DOFF;PLAT STRIP STL 20 MM DOFF;27;6;;1;47500;47500;47500
PLAT STRIP 20 MM KILAP;PLAT STRIP STL 20 MM KILAP;27;6;;1;47500;47500;47500
PLAT STRIP 25 MM DOFF;PLAT STRIP STL 25 MM DOFF;27;6;;1;50000;50000;50000
PLAT STRIP 25 MM KILAP;PLAT STRIP STL 25 MM KILAP;27;6;;1;50000;50000;50000
PLAT STRIP 30 MM DOFF;PLAT STRIP STL 30 MM DOFF;27;6;;1;55000;55000;55000
PLAT STRIP 30 MM KILAP;PLAT STRIP STL 30 MM KILAP;27;6;;1;55000;55000;55000
PLAT STRIP 50 MM DOFF;PLAT STRIP STL 50 MM DOFF;27;6;;1;75000;75000;75000
PLAT STRIP 50 MM KILAP;PLAT STRIP STL 50 MM KILAP;27;6;;1;75000;75000;75000
PLAT STRIP 100 MM DOFF;PLAT STRIP STL 100 MM DOFF;27;6;;1;150000;150000;150000
PLAT STRIP 100 MM KILAP;PLAT STRIP STL 100 MM KILAP;27;6;;1;150000;150000;150000
FA-128 ANODIZE;FRAME AL 128 ANODIZE;27;6;;1;140000;140000;140000
FA-128 PASIR;FRAME AL 128 PASIR;27;6;;1;160000;160000;160000
FA-128 BRUSH;FRAME AL 128 BRUSH;27;6;;1;160000;160000;160000
FA-128 SS;FRAME AL 128 SS;27;6;;1;145000;145000;145000
FA-128 WEP;FRAME AL 128 WEP;27;6;;1;145000;145000;145000
FA-128 MIRROR;FRAME AL 128 MIRROR;27;6;;1;160000;160000;160000
FHD-127 ANODIZE;FRAME HANDLE AL 127 ANODIZE;27;6;;1;180000;180000;180000
FHD-127 PASIR;FRAME HANDLE AL 127 PASIR;27;6;;1;210000;210000;210000
FHD-127 BRUSH;FRAME HANDLE AL 127 BRUSH;27;6;;1;210000;210000;210000
FHD-127 SS;FRAME HANDLE AL 127 SS;27;6;;1;190000;190000;190000
FHD-127 WEP;FRAME HANDLE AL 127 WEP;27;6;;1;190000;190000;190000
FHD-127 MIRROR;FRAME HANDLE AL 127 MIRROR;27;6;;1;210000;210000;210000
FHD-128 ANODIZE;FRAME HANDLE AL 128 ANODIZE;27;6;;1;160000;160000;160000
FHD-128 PASIR;FRAME HANDLE AL 128 PASIR;27;6;;1;190000;190000;190000
FHD-128 BRUSH;FRAME HANDLE AL 128 BRUSH;27;6;;1;190000;190000;190000
FHD-128 SS;FRAME HANDLE AL 128 SS;27;6;;1;170000;170000;170000
FHD-128 WEP;FRAME HANDLE AL 128 WEP;27;6;;1;170000;170000;170000
FHD-128 MIRROR;FRAME HANDLE AL 128 MIRROR;27;6;;1;190000;190000;190000
FHD-130 ANODIZE;FRAME HANDLE AL 130 ANODIZE;27;6;;1;195000;195000;195000
FHD-130 PASIR;FRAME HANDLE AL 130 PASIR;27;6;;1;230000;230000;230000
FHD-130 BRUSH;FRAME HANDLE AL 130 BRUSH;27;6;;1;230000;230000;230000
FHD-130 SS;FRAME HANDLE AL 130 SS;27;6;;1;200000;200000;200000
FHD-130 WEP;FRAME HANDLE AL 130 WEP;27;6;;1;200000;200000;200000
FHD-130 MIRROR;FRAME HANDLE AL 130 MIRROR;27;6;;1;230000;230000;230000
FHD-129 ANODIZE;FRAME HANDLE 129 ANODIZE;27;6;;1;145000;145000;145000
FHD-129 PASIR;FRAME HANDLE 129 PASIR;27;6;;1;165000;165000;165000
FHD-129 BRUSH;FRAME HANDLE 129 BRUSH;27;6;;1;165000;165000;165000
FA-45 ANODIZE;FRAME AL 45 ANODIZE;27;6;;1;115000;115000;115000
FA-45 PASIR;FRAME AL 45 PASIR;27;6;;1;135000;135000;135000
FA-45 BRUSH;FRAME AL 45 BRUSH;27;6;;1;135000;135000;135000
FA-45 SS;FRAME AL 45 SS;27;6;;1;115000;115000;115000
FHD-45 ANODIZE;FRAME HANDLE 45 ANODIZE;27;6;;1;135000;135000;135000
FHD-45 PASIR;FRAME HANDLE 45 PASIR;27;6;;1;155000;155000;155000
FHD-45 BRUSH;FRAME HANDLE 45 BRUSH;27;6;;1;155000;155000;155000
FHD-45 SS;FRAME HANDLE 45 SS;27;6;;1;135000;135000;135000
FB-46 ANODIZE;FRAME BELAKANG 46 ANODIZE;27;6;;1;105000;105000;105000
FB-46 PASIR;FRAME BELAKANG 46 PASIR;27;6;;1;120000;120000;120000
FHD-46 ANODIZE;FRAME HANDLE 46 ANODIZE;27;6;;1;120000;120000;120000
FHD-46 PASIR;FRAME HANDLE 46 PASIR;27;6;;1;140000;140000;140000
FHD-46 BRUSH;FRAME HANDLE 46 BRUSH;27;6;;1;140000;140000;140000
FA-19 ANODIZE;FRAME AL 19 ANODIZE;27;6;;1;95000;95000;95000
FA-19 PASIR;FRAME AL 19 PASIR;27;6;;1;115000;115000;115000
FA-19 BRUSH;FRAME AL 19 BRUSH;27;6;;1;115000;115000;115000
FA-19 WEP;FRAME AL 19 WEP;27;6;;1;95000;95000;95000
FA-48 ANODIZE;FRAME AL 48 ANODIZE;27;6;;1;110000;110000;110000
FA-48 PASIR;FRAME AL 48 PASIR;27;6;;1;130000;130000;130000
FA-48 BRUSH;FRAME AL 48 BRUSH;27;6;;1;130000;130000;130000
FA-48 WEP;FRAME AL 48 WEP;27;6;;1;110000;110000;110000
;;;;;;;;
FT-45 ANODIZE;FRAME TENGAH 45 ANODIZE;27;6;;1;115000;115000;115000
FT-45 PASIR;FRAME TENGAH 45 PASIR;27;6;;1;135000;135000;135000
FT-45 BRUSH;FRAME TENGAH 45 BRUSH;27;6;;1;135000;135000;135000
FT-45 SS;FRAME TENGAH 45 SS;27;6;;1;115000;115000;115000
;;;;;;;;
GP-30 ANODIZE;HANDLE AL GP 30 ANODIZE;27;6;;1;125000;125000;125000
GP-30 PASIR;HANDLE AL GP 30 PASIR;27;6;;1;145000;145000;145000
GP-30 BRUSH;HANDLE AL GP 30 BRUSH;27;6;;1;145000;145000;145000
GP-30 SS;HANDLE AL GP 30 SS;27;6;;1;125000;125000;125000
GP-30 MIRROR;HANDLE AL GP 30 MIRROR;27;6;;1;145000;145000;145000
;;;;;;;;
GP-32 ANODIZE;HANDLE AL GP 32 ANODIZE;27;6;;1;125000;125000;125000
GP-32 PASIR;HANDLE AL GP 32 PASIR;27;6;;1;145000;145000;145000
GP-32 BRUSH;HANDLE AL GP 32 BRUSH;27;6;;1;145000;145000;145000
GP-32 SS;HANDLE AL GP 32 SS;27;6;;1;125000;125000;125000
GP-32 MIRROR;HANDLE AL GP 32 MIRROR;27;6;;1;145000;145000;145000
;;;;;;;;
GP-35 ANODIZE;HANDLE AL GP 35 ANODIZE;27;6;;1;15500;15500;15500
GP-35 PASIR;HANDLE AL GP 35 PASIR;27;6;;1;175000;175000;175000
GP-35 BRUSH;HANDLE AL GP 35 BRUSH;27;6;;1;175000;175000;175000
GP-35 SS;HANDLE AL GP 35 SS;27;6;;1;155000;155000;155000
GP-35 MIRROR;HANDLE AL GP 35 MIRROR;27;6;;1;175000;175000;175000
;;;;;;;;
GP-36 ANODIZE;HANDLE AL GP 36 ANODIZE;27;6;;1;155000;155000;155000
GP-36 PASIR;HANDLE AL GP 36 PASIR;27;6;;1;175000;175000;175000
GP-36 BRUSH;HANDLE AL GP 36 BRUSH;27;6;;1;175000;175000;175000
GP-36 SS;HANDLE AL GP 36 SS;27;6;;1;155000;155000;155000
GP-36 MIRROR;HANDLE AL GP 36 MIRROR;27;6;;1;175000;175000;175000
;;;;;;;;
GP-37 ANODIZE;HANDLE AL GP 37 ANODIZE;27;6;;1;120000;120000;120000
GP-37 PASIR;HANDLE AL GP 37 PASIR;27;6;;1;135000;135000;135000
GP-37 BRUSH;HANDLE AL GP 37 BRUSH;27;6;;1;135000;135000;135000
GP-37 SS;HANDLE AL GP 37 SS;27;6;;1;120000;120000;120000
GP-37 MIRROR;HANDLE AL GP 37 MIRROR;27;6;;1;135000;135000;135000
;;;;;;;;
GP-38 ANODIZE;HANDLE AL GP 38 ANODIZE;27;6;;1;120000;120000;120000
GP-38 PASIR;HANDLE AL GP 38 PASIR;27;6;;1;135000;135000;135000
GP-38 BRUSH;HANDLE AL GP 38 BRUSH;27;6;;1;135000;135000;135000
GP-38 SS;HANDLE AL GP 38 SS;27;6;;1;120000;120000;120000
GP-38 MIRROR;HANDLE AL GP 38 MIRROR;27;6;;1;135000;135000;135000
;;;;;;;;
LT-06 ANODIZE;LIST T 06 ANODIZE;27;6;;1;27000;27000;27000
LT-06 PASIR;LIST T 06 PASIR;27;6;;1;30000;30000;30000
LT-06 SS;LIST T 06 SS;27;6;;1;27000;27000;27000
LT-06 MIRROR;LIST T 06 MIRROR;27;6;;1;30000;30000;30000
;;;;;;;;
L JAMUR-06 ANODIZE;LIST T JAMUR 06 ANODIZE;27;6;;1;30000;30000;30000
L JAMUR-06 PASIR;LIST T JAMUR 06 PASIR;27;6;;1;34000;34000;34000
L JAMUR-06 SS;LIST T JAMUR 06 SS;27;6;;1;30000;30000;30000
L JAMUR-06 MIRROR;LIST T JAMUR 06 MIRROR;27;6;;1;34000;34000;34000
;;;;;;;;
LT-08 ANODIZE;LIST T 08 ANODIZE;27;6;;1;30000;30000;30000
LT-08 PASIR;LIST T 08 PASIR;27;6;;1;34000;34000;34000
LT-08 SS;LIST T 08 SS;27;6;;1;30000;30000;30000
LT-08 MIRROR;LIST T 08 MIRROR;27;6;;1;340000;340000;340000
;;;;;;;;
LT-12 ANODIZE;LIST T 12 ANODIZE;27;6;;1;34000;34000;34000
LT-12 PASIR;LIST T 12 PASIR;27;6;;1;39000;39000;39000
LT-12 SS;LIST T 12 SS;27;6;;1;34000;34000;34000
LT-12 MIRROR;LIST T 12 MIRROR;27;6;;1;39000;39000;39000
;;;;;;;;
EA-17 ANODIZE;EDGING AL 17 ANODIZE;27;6;;1;32000;32000;32000
EA-17 PASIR;EDGING AL 17 PASIR;27;6;;1;37000;37000;37000
EA-17 BRUSH;EDGING AL 17 BRUSH;27;6;;1;37000;37000;37000
EA-17 SS;EDGING AL 17 SS;27;6;;1;32000;32000;32000
EA-17 MIRROR;EDGING AL 17 MIRROR;27;6;;1;37000;37000;37000
;;;;;;;;
EA-19 ANODIZE;EDGING 19 ANODIZE;27;6;;1;37000;37000;37000
EA-19 PASIR;EDGING 19 PASIR;27;6;;1;42000;42000;42000
EA-19 BRUSH;EDGING 19  BRUSH;27;6;;1;42000;42000;42000
EA-19 SS;EDGING 19 SS;27;6;;1;37000;37000;37000
EA-19 MIRROR;EDGING 19 MIRROR;27;6;;1;42000;42000;42000
;;;;;;;;
EA-92 ANODIZE;EDGING 92 ANODIZE;27;6;;1;37000;37000;37000
EA-92 PASIR;EDGING 92 PASIR;27;6;;1;42000;42000;42000
EA-92 BRUSH;EDGING 92 BRUSH;27;6;;1;42000;42000;42000
EA-92 SS;EDGING 92 SS;27;6;;1;37000;37000;37000
TAKI POLOS;TAKI POLOS KACA ES;11;5;TAKI;45000;50000;47000;48000
TAKI KOTAK KC;TAKI KOTAK KECIL;11;5;TAKI;50000;55000;52000;53000
TAKI KOTAK BS;TAKI KOTAK BESAR;11;5;TAKI;52500;57500;54500;55500
ST ONE WAY;STICKER KACA ONE WAY;11;5;NO BRAND;115000;120000;117000;118000
ST PUTIH SUSU 110;STICKER KACA SUSU 110 CM;11;5;NO BRAND;50000;55000;52000;53000
ST PUTIH SUSU 155;STICKER KACA SUSU 155 CM;11;5;NO BRAND;95000;100000;97000;98000
ST BUNGA 100;STICKER KACA BUNGA 100 CM;11;5;LUCKY;50000;55000;52000;53000
ST BAMBU;STICKER KACA BAMBU;11;5;LUCKY;75000;80000;77000;78000
ST KOTAK GLITTER;STICKER KACA KOTAK GLITTER;11;5;LUCKY;75000;80000;77000;78000
MARKS CLEAR;SEALANT MARKS CLEAR;13;6;MARKS;43000;45000;43500;44000
MARKS WHITE;SEALANT MARKS CLEAR;13;6;MARKS;43000;45000;43500;44000
MARKS BLACK;SEALANT MARKS CLEAR;13;6;MARKS;43000;45000;43500;44000
MARKS LIGHT GREY;SEALANT MARKS CLEAR;13;6;MARKS;43000;45000;43500;44000
MARKS ALM GREY;SEALANT MARKS CLEAR;13;6;MARKS;43000;45000;43500;44000
KK SOFA [] A111 6 CM;KAKI SOFA KOTAK A111 6 CM;14;6;IS;25000;27000;26000;26500
KK SOFA [] A111 8 CM;KAKI SOFA KOTAK A111 8 CM;14;6;IS;26000;28000;27000;27500
KK SOFA [] A111 10 CM;KAKI SOFA KOTAK A111 10 CM;14;6;IS;27000;29000;28000;28500
KK SOFA [] A111 12CM;KAKI SOFA KOTAK A111 12 CM;14;6;IS;28000;30000;29000;29500
KK SOFA [] A111 15 CM;KAKI SOFA KOTAK A111 15 CM;14;6;IS;30000;32000;31000;31500
KK SOFA [] A111 20 CM;KAKI SOFA KOTAK A111 20 CM;14;6;IS;32000;34000;33000;33500
;;;;;;;;
KK SOFA [] A112 6 CM;KAKI SOFA KOTAK A112 6 CM;14;6;IS;24000;26000;25000;25500
KK SOFA [] A112 8 CM;KAKI SOFA KOTAK A112 8 CM;14;6;IS;25000;27000;26000;26500
KK SOFA [] A112 10 CM;KAKI SOFA KOTAK A112 10 CM;14;6;IS;26000;28000;27000;27500
KK SOFA [] A112 12CM;KAKI SOFA KOTAK A112 12 CM;14;6;IS;27000;29000;28000;28500
KK SOFA [] A112 15 CM;KAKI SOFA KOTAK A112 15 CM;14;6;IS;29000;31000;30000;30500
KK SOFA [] A112 20 CM;KAKI SOFA KOTAK A112 20 CM;14;6;IS;31000;33000;32000;32500
;;;;;;;;
KK SOFA O A096 6 CM;KK SOFA BULAT A096 6 CM;14;6;IS;25000;27000;26000;26500
KK SOFA O A096 8 CM;KK SOFA BULAT A096 8 CM;14;6;IS;26000;28000;27000;27500
KK SOFA O A096 10 CM;KK SOFA BULAT A096 10 CM;14;6;IS;27000;29000;28000;28500
KK SOFA O A096 12 CM;KK SOFA BULAT A096 12 CM;14;6;IS;28000;30000;29000;29500
KK SOFA O A096 15 CM;KK SOFA BULAT A096 15 CM;14;6;IS;30000;32000;31000;31500
KK SOFA O A096 20 CM;KK SOFA BULAT A096 20 CM;14;6;IS;32000;34000;33000;33500
;;;;;;;;
STRONGMAN F 15;PAKU TEMBAK STRONGMAN F 15;14;7;STRONGMAN;1;23500;21500;21500
STRONGMAN F 20;PAKU TEMBAK STRONGMAN F 20;14;7;STRONGMAN;1;26000;24000;24000
STRONGMAN F 25;PAKU TEMBAK STRONGMAN F 25;14;7;STRONGMAN;1;30000;28000;28000
STRONGMAN F 30;PAKU TEMBAK STRONGMAN F 30;14;7;STRONGMAN;1;33500;31500;31500
;;;;;;;;
NEPLA F 10;PAKU TEMBAK NEPLA F 10;14;7;NEPLA;1;17500;15500;15500
NEPLA F 15;PAKU TEMBAK NEPLA F 15;14;7;NEPLA;1;18000;16000;16000
NEPLA F 20;PAKU TEMBAK NEPLA F 20;14;7;NEPLA;1;21000;19000;19000
NEPLA F 25;PAKU TEMBAK NEPLA F 25;14;7;NEPLA;1;24000;22000;22000
NEPLA F 30;PAKU TEMBAK NEPLA F 20;14;7;NEPLA;1;28500;26500;26500
;;;;;;;;
STAPLES 1008 J;ISI STAPLES NEPLA 1008 J;14;7;NEPLA;16000;18000;16000;16500
