NAMA PRODUK;PRODUCT DESCRIPTION;KATEGORI PRODUK;SATUAN UNIT;MERK;HPP;ECERAN;PARTAI;GROSIR
STAPLES 1013 J;ISI STAPLES NEPLA 1013 J;14;7;NEPLA;20000;22000;21000;21500
STAPLES 1016 J;ISI STAPLES NEPLA 1016 J;14;7;NEPLA;22000;24000;23000;23500
;;;;;;;;
KC HAFELE 138-2 CM;138 - 2CM HAFELE ASLI;15;6;HAFELE;1;40000;37500;37500
KC KAFELE 138-2 CM;138 - 2CM KAFELE;15;6;KAFELE;1;17500;16000;16000
KC KAFELE 138-3 CM;138 - 3CM KAFELE;15;6;KAFELE;1;27500;26000;26000
KC KAFELE 103-25 MM;CABINET 103 - 25MM KAFELE;15;6;KAFELE;1;20000;18500;18500
KC KAFELE 103-30 MM;CABINET 103 - 30MM KAFELE;15;6;KAFELE;1;21000;19500;19500
KC ALBION 103-20 MM;CABINET 103 - 20MM ALBION;15;6;ALBION;1;12500;11000;11000
KC ALBION 103-30 MM;CABINET 103 - 30MM ALBION;15;6;ALBION;1;13500;12000;12000
KC KAFELE TUSUK 105;TUSUK 105 KAFELE;15;6;KAFELE;1;17500;16000;16000
;;;;;;;;
AMB BENING + KOP KC;AMBALAN BENING + KOP KACA;16;6;IS;1;750;725;725
AMB BESI + KOP KC;AMBALAN BESI + KOP KACA;16;6;IS;1;700;675;675
AMB JEP KC CHK KUKU;AMBALAN JEPITAN KACA CHR KUKU;16;6;IS;1;5000;4800;4800
AMB JEP 1/2 BULAT NIKEL;AMBALAN JEPITAN 1/2 BULAT NIKEL;16;6;IS;1;2000;1900;1900
AJ 7 AMB JPT SKRUP;AJ-7 AMBALAN JEPIT (SKRUP);16;6;;1;2000;2000;2000
AJ 9 AMB JPT PIN;AJ-9 AMBALAN JEPIT (PIN);16;6;;1;2000;2000;2000
AKP 10;AKP-10 AMBALAN PLAT;16;6;;1;750;750;750
AKP 15;AKP-15 AMBALAN PLAT;16;6;;1;800;800;800
AKZ 14;AKZ-14 AMBALAN KACA ZINC;16;6;;1;1750;1750;1750
AK 06;AK-06 AMBALAN KARET;16;6;;1;1400;1400;1400
F 004;F-004 AMBALAN JEPIT;16;6;;1;4800;4800;4800
RH 13;RH-13 AMBALAN KACA;16;6;;1;1200;1200;1200
RH 21;RH-21 AMBALAN BESI RING;16;6;;1;1000;1000;1000
AB 5;AB-5 AMBALAN BENING;16;6;;1;500;500;500
;;;;;;;;
VINYL 2 CM - 20 MTR;BAN VINYL 2 CM - 20 MTR;17;5;NO BRAND;1;10000;10000;10000
VINYL 4 CM - 20 MTR;BAN VINYL 4 CM - 20 MTR;17;5;NO BRAND;1;23000;23000;23000
VINYL 5 CM - 20 MTR;BAN VINYL 5 CM - 20 MTR;17;5;NO BRAND;1;30000;30000;30000
VINYL 2 CM - ROLL;BAN VINYL 2 CM - ROLL;17;5;NO BRAND;1;100000;100000;100000
VINYL 4 CM - ROLL;BAN VINYL 4 CM - ROLL;17;5;NO BRAND;1;185000;185000;185000
VINYL 5 CM - ROLL;BAN VINYL 5 CM - ROLL;17;5;NO BRAND;1;240000;240000;240000
;;;;;;;;
SARINGAN []  L SILVER;SARINGAN LEMARI KOTAK L SILVER;14;6;;1;13000;12000;12000
SARINGAN [] L STANLESS;SARINGAN LEMARI KOTAK L STANLESS;14;6;;1;17000;16000;16000
SARINGAN []  PLS COKLAT;SARINGAN LEMARI KOTAK PLS COKLAT;14;6;;1;5000;4500;4500
SARINGAN []  PLS PUTIH;SARINGAN LEMARI KOTAK PLS PUTIH;14;6;;1;5000;4500;4500
SARINGAN []  PLS CREAM;SARINGAN LEMARI KOTAK PLS CREAM;14;6;;1;5000;4500;4500
;;;;;;;;
SARINGAN O PUTIH;SARINGAN LEMARI BULAT PUTIH;14;6;;1;1500;1500;1500
SARINGAN O COKLAT;SARINGAN LEMARI BULAT COKLAT;14;6;;1;1500;1500;1500
SARINGAN 0 NYLON CREAM;SARINGAN LEMARI OVAL NYLON CREAM;14;6;;1;15000;15000;15000
;;;;;;;;
"BRACKET O 1 1/4"" UJUNG";BRACKET PIPA 1 1/4 INCH (32MM) UJUNG;14;6;;1;17500;16000;16000
"BRACKET O 1 1/4"" TENGAH";BRACKET PIPA 1 1/4 INCH (32MM) TENGAH;14;6;;1;17500;16000;16000
"BRACKET TOPI 1 1/4""";BRACKET TOPI 1 1/4 INCH (32MM);14;6;;1;12500;12000;12000
BP 16 OVAL;BRACKET PIPA  16 OVAL;14;6;;1;10000;10000;10000
BP 19 TOPI;BRACKET PIPA  19 TOPI;14;6;;1;12500;12500;12500
BP 25 TOPI;BRACKET PIPA  25 TOPI;14;6;;1;15000;15000;15000
PT 19 TIANG;PT 19 TIANG;14;6;;1;18000;18000;18000
PT 25 TIANG;PT 25 TIANG;14;6;;1;22000;22000;22000
PU 19 TIANG;PU 19 TIANG;14;6;;1;18000;18000;18000
PU 25 TIANG;PU 25 TIANG;14;6;;1;22000;22000;22000
;;;;;;;;
"SKRUP KC SOLA 2""";SEKRUP KACA SOLA 2 INCH;18;6;;1;2000;1950;1950
"SKRUP KC SOLA 1 1/2""";SEKRUP KACA SOLA 1 1/2 INCH;18;6;;1;1600;1550;1550
"SKRUP KC SOLA 1 1/4""";SEKRUP KACA SOLA 1 1/4 INCH;18;6;;1;1500;1450;1450
"SKRUP KC SOLA 1""";SEKRUP KACA SOLA 1 INCH;18;6;;1;1450;1350;1350
"SKRUP KC SOLA 3/4""";SEKRUP KACA SOLA 3/4 INCH;18;6;;1;1400;1350;1350
;;;;;;;;
SIKU  L TAJAMAN VERSENG;PLAT L TAJAMAN VERSENG;19;6;;1;1000;750;750
SIKU L HAFELE CHROME;PLAT SIKU L HAFELE CHROME;19;6;;1;13500;13000;13000
SIKU L 2 X 3 VERSENG;PLAT SIKU L 2 X 3 VERSENG;19;6;;1;2500;2000;2000
SIKU L 2 1/2 X 2 1/2 X 5 CM;PLAT SIKU L 2 1/2 X 2 1/2 X 5 CM;19;6;;1;3000;2500;2500
SIKU L 2 1/2 X 2 1/2 X 6 CM;PLAT SIKU L 2 1/2 X 2 1/2 X 6 CM;19;6;;1;3000;2500;2500
;;;;;;;;
SIKU L VERSENG POLOS 4CM;PLAT SIKU L VERSENG POLOS   4 X   4CM;19;6;;1;5000;5000;5000
SIKU L VERSENG POLOS 5CM;PLAT SIKU L VERSENG POLOS   5 X   5CM;19;6;;1;6000;6000;6000
SIKU L VERSENG POLOS 6CM;PLAT SIKU L VERSENG POLOS   6 X   6CM;19;6;;1;7000;7000;7000
SIKU L VERSENG POLOS 8CM;PLAT SIKU L VERSENG POLOS   8 X   8CM;19;6;;1;8000;8000;8000
SIKU L VERSENG POLOS 10CM;PLAT SIKU L VERSENG POLOS 10 X 10CM;19;6;;1;9000;9000;9000
;;;;;;;;
TUTUP KABEL COKLAT;TUTUP KABEL BULAT COKLAT;14;6;;1;4000;3500;3500
TUTUP KABEL HITAM;TUTUP KABEL BULAT HITAM;14;6;;1;4000;3500;3500
TUTUP KABEL CREAM;TUTUP KABEL BULAT CREAM;14;6;;1;4000;3500;3500
TUTUP KABEL PUTIH;TUTUP KABEL BULAT PUTIH;14;6;;1;4000;3500;3500
;;;;;;;;
SOLASI KERTAS;SOLASI KERTAS;14;6;NACHI;1;8000;8000;8000
CUTTER KENKO ;CUTTER KENKO ;14;6;KENKO;1;15000;15000;15000
CUTTER JOYKO;CUTTER JOYKO;14;6;JOYKO;1;18000;18000;18000
ISI CUTTER;ISI CUTTER;14;6;KENKO;1;7000;7000;7000
CUTTER AKRILIK;CUTTER ACRYLIC RG-334;14;6;;1;20000;18000;18000
ISI CUTTER AKRILIK;MATA CUTTER ACRYLIC RG-334;14;6;;1;20000;18000;18000
BRACKET H-5;BRACKET H-5 U CHROME;20;6;;1;12500;11000;11000
BRACKET H-5 UJUNG;BRACKET H-5 U UJUNG;20;6;;1;23000;21500;21500
BRACKET PIPA KOTAK;BRACKET PIPA KOTAK CHROME;20;6;;1;13500;12000;12000
TUTUP PIPA KOTAK;PLASTIK TUTUP PIPA KOTAK CHR;14;6;;1;5000;4000;4000
DUDUKAN T.BRACKET ;DUDUKAN T.BRACKET CHR + BAUT;14;6;;1;17500;16000;16000
;;;;;;;;
MT BOR KAYU TCT 20MM;MATA BOR KAYU TCT 20MM;14;6;;1;45000;45000;45000
MT BOR KAYU TCT 22MM;MATA BOR KAYU TCT 22MM;14;6;;1;45000;45000;45000
MT BOR KAYU TCT 25MM;MATA BOR KAYU TCT 25MM;14;6;;1;47000;47000;47000
MT BOR KAYU TCT 35MM;MATA BOR KAYU TCT 35MM;14;6;;1;50000;50000;50000
;;;;;;;;
MT BOR KY KTK MERAH 20MM;MATA BOR KAYU KOTAK MERAH 20MM;14;6;;1;23000;23000;23000
MT BOR KY KTK MERAH 22MM;MATA BOR KAYU KOTAK MERAH 22MM;14;6;;1;23000;23000;23000
MT BOR KY KTK MERAH 25MM;MATA BOR KAYU KOTAK MERAH 25MM;14;6;;1;24000;24000;24000
MT BOR KY KTK MERAH 35MM;MATA BOR KAYU KOTAK MERAH 35MM;14;6;;1;25000;25000;25000
;;;;;;;;
"RODA LAHER ULIH 1""";RODA LAHER ULIH 1 INCH COAK;21;6;;1;5500;5000;5000
"RODA LAHER ULIH 3/4""";RODA LAHER ULIH 3/4 INCH COAK;21;6;;1;4000;3500;3500
;;;;;;;;
REL PT SLID MULLER J3;REL PINTU SLIDING MULLER J3;22;9;;1;175000;175000;175000
REL PT SLID MULLER J4;REL PINTU SLIDING MULLER J4;22;9;;1;195000;195000;195000
REL PT SLID MULLER J4;REL PINTU SLIDING MULLER J5;22;9;;1;205000;205000;205000
REL PT SLID 777 - A3;REL PINTU SLIDING 777 - A3;22;9;;1;125000;125000;125000
REL PT SLID 777 - A4;REL PINTU SLIDING 777 - A4;22;9;;1;135000;135000;135000
REL PT SLID 777 - A5;REL PINTU SLIDING 777 - A5;22;9;;1;145000;145000;145000
RODA 280 CHR;RODA 280 CHR;21;6;;1;75000;75000;75000
;;;;;;;;
HOOK BAJU SINGLE;GANTUNGAN BAJU SINGLE;14;6;;1;10000;10000;10000
HOOK BAJU DOUBLE;GANTUNGAN BAJU DOUBLE;14;6;;1;12500;12500;12500
;;;;;;;;
PIL KB 8MM;BUMPER / PIL KB   8MM @80 BJ/LBR;14;1;;1;20000;20000;20000
PIL KB 10MM;BUMPER / PIL KB 10MM @50 BJ/LBR;14;1;;1;20000;20000;20000
PIL KB 12MM;BUMPER / PIL KB 12MM @40 BJ/LBR;14;1;;1;20000;20000;20000
;;;;;;;;
FISHER S6;FISHER S6;18;7;;1;11000;11000;11000
FISHER S8;FISHER S8;18;7;;1;12500;12500;12500
BAUT KY PANJANG;BAUT KAYU PANJANG;18;7;;1;1;1;1
;;;;;;;;
FAB 6 x 5/8;BAUT FAB 6 x 5/8;18;7;FAB;1;60000;60000;60000
FAB 6 x 5/8 - PLASTIK;BAUT FAB 6 x 5/8;18;8;FAB;1;6000;6000;6000
FAB 6 x 3/4;BAUT FAB 6 x 3/4;18;7;FAB;1;70000;70000;70000
FAB 6 x 3/4 - PLASTIK;BAUT FAB 6 x 3/4;18;8;FAB;1;7000;7000;7000
FAB 6 x 1;BAUT FAB 6 x 1;18;7;FAB;1;45000;45000;45000
FAB 6 x 1 - PLASTIK;BAUT FAB 6 x 1;18;8;FAB;1;5000;5000;5000
FAB 6 x 11/4;BAUT FAB 6 x 11/4;18;7;FAB;1;55000;55000;55000
FAB 6 x 11/4 - PLASTIK;BAUT FAB 6 x 11/4;18;8;FAB;1;6000;6000;6000
FAB 6 x 11/2;BAUT FAB 6 x 11/2;18;7;FAB;1;65000;65000;65000
FAB 6 x 11/2 - PLASTIK;BAUT FAB 6 x 11/2;18;8;FAB;1;7000;7000;7000
FAB 8 x 2;BAUT FAB 8 x 2;18;7;FAB;1;112000;112000;112000
FAB 8 x 2 - PLASTIK;BAUT FAB 8 x 2;18;7;FAB;1;9000;9000;9000
;;;;;;;;
DWS 6 x 1;BAUT DWS 6 x 1;18;7;DRYWALL SCREW;1;6000;6000;6000
DWS 6 x 1 - PLASTIK;BAUT DWS 6 x 1;18;8;DRYWALL SCREW;1;43000;43000;43000
DWS 6 x 1 1/4;BAUT DWS 6 x 1 1/4;18;7;DRYWALL SCREW;1;7000;7000;7000
DWS 6 x 1 1/4 - PLASTIK;BAUT DWS 6 x 1 1/4;18;8;DRYWALL SCREW;1;52000;52000;52000
;;;;;;;;
RAK BTL 2 SSN;RAK BOTOL 2 SUSUN;20;6;MODELLINE;1;70000;70000;70000
RAK BTL 3 SSN;RAK BOTOL 3 SUSUN;20;6;MODELLINE;1;95000;95000;95000
;;;;;;;;
RAK PR 2 SSN;RAK PIRING 2 SUSUN;20;6;MODELLINE;1;70000;70000;70000
RAK PR 2 SSN + TATAKAN;RAK PIRING 2 SSN + TATAKAN;20;6;MODELLINE;1;95000;95000;95000
RAK PR 3 SSN;RAK PIRING 3 SUSUN;20;6;MODELLINE;1;95000;95000;95000
RAK PR 3 SSN + TATAKAN;RAK PIRING 3 SSN + TATAKAN;20;6;MODELLINE;1;115000;115000;115000
;;;;;;;;
RAK PR P60L;RAK PIRING P60L;20;6;MODELLINE;1;55000;55000;55000
RAK PR P60L + TATAKAN;RAK PIRING P60L + TATAKAN;20;6;MODELLINE;1;70000;70000;70000
RAK PR P90L;RAK PIRING P90L;20;6;MODELLINE;1;80000;80000;80000
RAK PR P90L + TATAKAN;RAK PIRING P90L + TATAKAN;20;6;MODELLINE;1;130000;130000;130000
;;;;;;;;
SEKAT LACI KECIL;SEKAT LACI KECIL;20;6;MODELLINE;1;55000;55000;55000
SEKAT LACI BESAR;SEKAT LACI BESAR;20;6;MODELLINE;1;75000;75000;75000
TD 26 SM - 30 CM;REL LACI TD 26 SM - 30 CM;23;9;HUBEN;1;75000;75000;75000
TD 26 SM - 35 CM;REL LACI TD 26 SM - 35 CM;23;9;HUBEN;1;8000;8000;8000
TD 26 SM - 40 CM;REL LACI TD 26 SM - 40 CM;23;9;HUBEN;1;85000;85000;85000
TD 26 SM - 45 CM;REL LACI TD 26 SM - 45 CM;23;9;HUBEN;1;90000;90000;90000
TD 26 SM - 50 CM;REL LACI TD 26 SM - 50 CM;23;9;HUBEN;1;95000;95000;95000
;;;;;;;;
TD 28 PO - 30 CM;REL LACI TD 28 PO - 30 CM;23;9;HUBEN;1;75000;75000;75000
TD 28 PO - 35 CM;REL LACI TD 28 PO - 35 CM;23;9;HUBEN;1;8000;8000;8000
TD 28 PO - 40 CM;REL LACI TD 28 PO - 40 CM;23;9;HUBEN;1;85000;85000;85000
TD 28 PO - 45 CM;REL LACI TD 28 PO - 45 CM;23;9;HUBEN;1;90000;90000;90000
TD 28 PO - 50 CM;REL LACI TD 28 PO - 50 CM;23;9;HUBEN;1;95000;95000;95000
;;;;;;;;
FE 37 - 30 CM;REL LACI FE 37 - 30 CM;23;9;HUBEN;1;16000;16000;16000
FE 37 - 35 CM;REL LACI FE 37 - 35 CM;23;9;HUBEN;1;18500;18500;18500
FE 37 - 40 CM;REL LACI FE 37 - 40 CM;23;9;HUBEN;1;21000;21000;21000
FE 37 - 45 CM;REL LACI FE 37 - 45 CM;23;9;HUBEN;1;23500;23500;23500
FE 37 - 50 CM;REL LACI FE 37 - 50 CM;23;9;HUBEN;1;26000;26000;26000
FE 37 - 55 CM;REL LACI FE 37 - 55 CM;23;9;HUBEN;1;28500;28500;28500
FE 37 - 60 CM;REL LACI FE 37 - 60 CM;23;9;HUBEN;1;31000;31000;31000
;;;;;;;;
FE 45 - 30 CM;REL LACI FE 45 - 30 CM;23;9;HUBEN;1;23000;23000;23000
FE 45 - 35 CM;REL LACI FE 45 - 35 CM;23;9;HUBEN;1;26000;26000;26000
FE 45 - 40 CM;REL LACI FE 45 - 40 CM;23;9;HUBEN;1;29000;29000;29000
FE 45 - 45 CM;REL LACI FE 45 - 45 CM;23;9;HUBEN;1;32000;32000;32000
FE 45 - 50 CM;REL LACI FE 45 - 50 CM;23;9;HUBEN;1;35000;35000;35000
FE 45 - 55 CM;REL LACI FE 45 - 55 CM;23;9;HUBEN;1;38000;38000;38000
FE 45 - 60 CM;REL LACI FE 45 - 60 CM;23;9;HUBEN;1;41000;41000;41000
;;;;;;;;
MT 0;MT LURUS;24;9;HUBEN;1;6000;6000;6000
MT 8;MT 1/2 BENGKOK;24;9;HUBEN;1;6000;6000;6000
MT 16;MT FULL BENGKOK;24;9;HUBEN;1;6000;6000;6000
HB 0;HB LURUS;24;9;HUBEN;1;5500;5500;5500
HB 8;HB 1/2 BENGKOK;24;9;HUBEN;1;5500;5500;5500
HB 16;HB FULL BENGKOK;24;9;HUBEN;1;5500;5500;5500
AP 0;AP LURUS;24;9;HUBEN;1;20000;20000;20000
AP 8;AP 1/2 BENGKOK;24;9;HUBEN;1;20000;20000;20000
AP 16;AP FULL BENGKOK;24;9;HUBEN;1;20000;20000;20000
SM-M2 0;SM-M2 LURUS;24;9;HUBEN;1;16000;16000;16000
SM-M2 8;SM-M2 1/2 BENGKOK;24;9;HUBEN;1;16000;16000;16000
SM-M2 16;SM-M2 FULL BENGKOK;24;9;HUBEN;1;16000;16000;16000
MH 0;MH LURUS;24;9;HUBEN;1;5000;5000;5000
MH 8;MH 1/2 BENGKOK;24;9;HUBEN;1;5000;5000;5000
MH 16;MH FULL BENGKOK;24;9;HUBEN;1;5000;5000;5000
GH 0;GH LURUS;24;9;HUBEN;1;9000;9000;9000
GH 8;GH 1/2 BENGKOK;24;9;HUBEN;1;9000;9000;9000
GH 16;GH FULL BENGKOK;24;9;HUBEN;1;9000;9000;9000
HA 0;HA LURUS;24;9;HUBEN;1;12000;12000;12000
HA 8;HA 1/2 BENGKOK;24;9;HUBEN;1;12000;12000;12000
HA 16;HA FULL BENGKOK;24;9;HUBEN;1;12000;12000;12000
;;;;;;;;
HL 181-22;KUNCI LACI HL 181-22;15;6;HUBEN;1;7500;7500;7500
HL 181 M2;KUNCI LACI HL 181 M2;15;6;HUBEN;1;6500;6500;6500
HL 138-22;KUNCI LACI HL 138-22;15;6;HUBEN;1;8000;8000;8000
HL 138-32;KUNCI LACI HL 138-32;15;6;HUBEN;1;9500;9500;9500
HL 202;KUNCI LACI HL 202;15;6;HUBEN;1;10500;10500;10500
;;;;;;;;
HL 103-20;KUNCI LACI HL 103-20;15;6;HUBEN;1;7500;7500;7500
HL 103-25;KUNCI LACI HL 103-25;15;6;HUBEN;1;8000;8000;8000
HL 103-30;KUNCI LACI HL 103-30;15;6;HUBEN;1;8000;8000;8000
HL 105;KUNCI LACI HL 105;15;6;HUBEN;1;8000;8000;8000
HL 505 M2;KUNCI LACI HL 505 M2;15;6;HUBEN;1;8500;8500;8500
;;;;;;;;
PEN 16 x 20mm;PEN IKLAN 16 x 20mm;14;6;NO BRAND;1;5500;5500;5500
PEN 16 x 25mm;PEN IKLAN 16 x 25mm;14;6;NO BRAND;1;5500;5500;5500
PEN 16 x 30mm;PEN IKLAN 16 x 30mm;14;6;NO BRAND;1;5500;5500;5500
PEN 16 x 40mm;PEN IKLAN 16 x 40mm;14;6;NO BRAND;1;5750;5750;5750
PEN 16 x 50mm;PEN IKLAN 16 x 50mm;14;6;NO BRAND;1;6000;6000;6000
PEN 16 x 60mm;PEN IKLAN 16 x 60mm;14;6;NO BRAND;1;6000;6000;6000
PEN 16 x 70mm;PEN IKLAN 16 x 70mm;14;6;NO BRAND;1;6250;6250;6250
PEN 16 x 80mm;PEN IKLAN 16 x 80mm;14;6;NO BRAND;1;6500;6500;6500
PEN 16 x 90mm;PEN IKLAN 16 x 90mm;14;6;NO BRAND;1;6750;6750;6750
PEN 16 x 100mm;PEN IKLAN 16 x 100mm;14;6;NO BRAND;1;7000;7000;7000
PEN 19 x 20mm;PEN IKLAN 19 x 20mm;14;6;NO BRAND;1;6000;6000;6000
PEN 19 x 25mm;PEN IKLAN 19 x 25mm;14;6;NO BRAND;1;6000;6000;6000
PEN 19 x 30mm;PEN IKLAN 19 x 30mm;14;6;NO BRAND;1;6000;6000;6000
PEN 19 x 40mm;PEN IKLAN 19 x 40mm;14;6;NO BRAND;1;6250;6250;6250
PEN 19 x 50mm;PEN IKLAN 19 x 50mm;14;6;NO BRAND;1;6250;6250;6250
PEN 19 x 60mm;PEN IKLAN 19 x 60mm;14;6;NO BRAND;1;6500;6500;6500
PEN 19 x 70mm;PEN IKLAN 19 x 70mm;14;6;NO BRAND;1;6750;6750;6750
PEN 19 x 80mm;PEN IKLAN 19 x 80mm;14;6;NO BRAND;1;7000;7000;7000
PEN 19 x 90mm;PEN IKLAN 19 x 90mm;14;6;NO BRAND;1;7250;7250;7250
PEN 19 x 100mm;PEN IKLAN 19 x 100mm;14;6;NO BRAND;1;8000;8000;8000
PEN 22 x 20mm;PEN IKLAN 22 x 20mm;14;6;NO BRAND;1;6500;6500;6500
PEN 22 x 25mm;PEN IKLAN  22 x 25mm;14;6;NO BRAND;1;6500;6500;6500
PEN 22 x 30mm;PEN IKLAN  22 x 30mm;14;6;NO BRAND;1;6500;6500;6500
PEN 22 x 40mm;PEN IKLAN 22 x 40mm;14;6;NO BRAND;1;6750;6750;6750
PEN 22 x 50mm;PEN IKLAN 22 x 50mm;14;6;NO BRAND;1;7000;7000;7000
PEN 22 x 60mm;PEN IKLAN 22 x 60mm;14;6;NO BRAND;1;7250;7250;7250
PEN 22 x 70mm;PEN IKLAN 22 x 70mm;14;6;NO BRAND;1;7500;7500;7500
PEN 22 x 80mm;PEN IKLAN 22 x 80mm;14;6;NO BRAND;1;7750;7750;7750
PEN 22 x 90mm;PEN IKLAN 22 x 90mm;14;6;NO BRAND;1;8250;8250;8250
PEN 22 x 100mm;PEN IKLAN 22 x 100mm;14;6;NO BRAND;1;8500;8500;8500
PEN 25 x 20mm;PEN IKLAN 25 x 20mm;14;6;NO BRAND;1;6750;6750;6750
PEN 25 x 25mm;PEN IKLAN 25 x 25mm;14;6;NO BRAND;1;6750;6750;6750
PEN 25 x 30mm;PEN IKLAN 25 x 30mm;14;6;NO BRAND;1;6750;6750;6750
PEN 25 x 40mm;PEN IKLAN 25 x 40mm;14;6;NO BRAND;1;7000;7000;7000
PEN 25 x 50mm;PEN IKLAN 25 x 50mm;14;6;NO BRAND;1;7250;7250;7250
PEN 25 x 60mm;PEN IKLAN 25 x 60mm;14;6;NO BRAND;1;7500;7500;7500
PEN 25 x 70mm;PEN IKLAN 25 x 70mm;14;6;NO BRAND;1;7750;7750;7750
PEN 25 x 80mm;PEN IKLAN 25 x 80mm;14;6;NO BRAND;1;8000;8000;8000
PEN 25 x 90mm;PEN IKLAN 25 x 90mm;14;6;NO BRAND;1;8500;8500;8500
PEN 25 x 100mm;PEN IKLAN 25 x 100mm;14;6;NO BRAND;1;9000;9000;9000
;;;;;;;;
RAK PR 600 MM;RAK PIRING SS 600 MM;20;9;HUBEN;1;170000;170000;170000
RAK PR 700 MM;RAK PIRING SS 700 MM;20;9;HUBEN;1;190000;190000;190000
RAK PR 800 MM;RAK PIRING SS 800 MM;20;9;HUBEN;1;210000;210000;210000
RAK PR 900 MM;RAK PIRING SS 900 MM;20;9;HUBEN;1;230000;230000;230000
RAK PR 1000 MM;RAK PIRING SS 1000 MM;20;9;HUBEN;1;250000;250000;250000
;;;;;;;;
AMPLAS 100;AMPLAS 100 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 120;AMPLAS 120 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 150;AMPLAS 150 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 180;AMPLAS 180 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 220;AMPLAS 220 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 240;AMPLAS 240 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 280;AMPLAS 280 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 320;AMPLAS 320 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 360;AMPLAS 360 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 400;AMPLAS 400 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 600;AMPLAS 600 ECER;25;1;NO BRAND;1;4000;4000;4000
AMPLAS 1200;AMPLAS 1200 ECER;25;1;NO BRAND;1;4500;4500;4500
;;;;;;;;
TA 09 - 64;TA 09 - 64;26;6;;1;7000;7000;7000
TA 09 - 96;TA 09 - 96;26;6;;1;8000;8000;8000
